Realized & Unrealized Performance Summary,Data,Equity and Index Options,NVT 19MAR21 22.5 P,0,701.12653,0,0,0,701.12653,0,0,0,0,0,701.12653,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,QRVO 20AUG21 140.0 P,0,2361.772596,0,0,0,2361.772596,0,0,0,0,0,2361.772596,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,SPX 16JUL21 3700.0 P,0,0,0,0,0,0,0,-989.5828,0,0,-989.5828,-989.5828,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,SPX 20AUG21 3700.0 P,0,0,0,0,0,0,0,-1427.3428,0,0,-1427.3428,-1427.3428,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,TSLA 19MAR21 700.0 P,0,2443.667003,0,0,0,2443.667003,0,0,0,0,0,2443.667003,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,TSLA 16APR21 500.0 P,0,2207.20836,0,0,0,2207.20836,0,0,0,0,0,2207.20836,
Realized & Unrealized Performance Summary,Data,Equity and Index Options,TSLA 16JUL21 400.0 P,0,838.407206,0,0,0,838.407206,0,0,0,0,0,838.407206,
Realized & Unrealized Performance Summary,Data,Total,,0,21470.70626,0,0,0,21470.70626,5905.460794,-4521.30233,0,0,1384.158464,22854.86473,
Realized & Unrealized Performance Summary,Data,Futures,6AH1,0,6495.72,-14.82,0,0,6480.9,0,0,0,0,0,6480.9,
Realized & Unrealized Performance Summary,Data,Futures,6EM1,0,2317.89,0,0,0,2317.89,0,0,0,0,0,2317.89,
Realized & Unrealized Performance Summary,Data,Futures,S30YK1,0,121.41,0,0,0,121.41,0,0,0,0,0,121.41,
Realized & Unrealized Performance Summary,Data,Futures,ZB   JUN 21,0,902.91,0,0,0,902.91,0,0,0,0,0,902.91,
Realized & Unrealized Performance Summary,Data,Futures,ZN   JUN 21,0,574.885,0,0,0,574.885,0,0,0,0,0,574.885,
Realized & Unrealized Performance Summary,Data,Futures,ZN   SEP 21,0,0,0,0,0,0,0,-923.495,0,0,-923.495,-923.495,
Realized & Unrealized Performance Summary,Data,Total,,0,10412.815,-14.82,0,0,10397.995,0,-923.495,0,0,-923.495,9474.5,
Realized & Unrealized Performance Summary,Data,Options On Futures,AUD 09APR21 0.76 P,0,1192.59,0,0,0,1192.59,0,0,0,0,0,1192.59,
Realized & Unrealized Performance Summary,Data,Options On Futures,GC APR21 1700.0 P,0,175.26,0,0,0,175.26,0,0,0,0,0,175.26,
Realized & Unrealized Performance Summary,Data,Options On Futures,EUR 03MAR21 1.215 C,0,1235.48,0,0,0,1235.48,0,0,0,0,0,1235.48,
Realized & Unrealized Performance Summary,Data,Options On Futures,EUR 07APR21 1.19 P,0,547.53,0,0,0,547.53,0,0,0,0,0,547.53,
Realized & Unrealized Performance Summary,Data,Options On Futures,EUR 17MAR21 1.2 P,0,580.24,0,0,0,580.24,0,0,0,0,0,580.24,
Realized & Unrealized Performance Summary,Data,Options On Futures,EUR 24FEB21 1.215 C,0,2318.04,0,0,0,2318.04,0,0,0,0,0,2318.04,
Realized & Unrealized Performance Summary,Data,Total,,0,6049.14,0,0,0,6049.14,0,0,0,0,0,6049.14,
Realized & Unrealized Performance Summary,Data,Forex,AUD,0,1278.671363,-3343.714337,0,0,-2065.042974,59.15682773,0,0,0,59.15682773,-2005.886146,
Realized & Unrealized Performance Summary,Data,Forex,CAD,0,193.431558,-249.227667,0,0,-55.796109,42.12611022,0,0,0,42.12611022,-13.66999878,
Realized & Unrealized Performance Summary,Data,Forex,CHF,0,474.111188,0,0,0,474.111188,0.019664,0,0,0,0.019664,474.130852,
Realized & Unrealized Performance Summary,Data,Forex,EUR,0,13001.8745,-8488.711618,0,0,4513.162879,0,-57.23402377,0,0,-57.23402377,4455.928855,
